Time,Vehicle#,Type,Light,Violation
12:35:39,468,car,unknown,NO
12:35:40,469,car,unknown,NO
12:35:40,470,car,unknown,NO
12:35:40,471,car,unknown,NO
12:35:40,472,car,unknown,NO
12:35:40,473,car,unknown,NO
12:35:40,474,car,unknown,NO
12:35:41,475,car,unknown,NO
12:35:41,476,car,unknown,NO
12:35:41,477,car,unknown,NO
12:35:41,478,car,unknown,NO
12:35:41,479,car,unknown,NO
12:35:41,480,car,unknown,NO
12:35:42,481,car,unknown,NO
12:35:42,482,car,unknown,NO
12:35:42,483,car,unknown,NO
12:35:42,484,car,unknown,NO
12:35:42,485,car,unknown,NO
12:35:42,486,car,unknown,NO
12:35:42,487,car,unknown,NO
12:35:43,488,car,unknown,NO
12:35:43,489,car,unknown,NO
12:35:43,490,car,unknown,NO
12:35:43,491,car,unknown,NO
12:35:43,492,car,unknown,NO
12:35:43,493,car,unknown,NO
12:35:43,494,car,unknown,NO
12:35:44,495,car,unknown,NO
12:35:44,496,car,unknown,NO
12:35:44,497,car,unknown,NO
12:35:44,498,car,unknown,NO
12:35:44,499,car,unknown,NO
12:35:44,500,car,unknown,NO
12:35:45,501,car,unknown,NO
12:35:45,502,car,unknown,NO
12:35:45,503,car,unknown,NO
12:35:45,504,car,unknown,NO
12:35:45,505,car,unknown,NO
12:35:46,506,truck,unknown,NO
12:35:46,507,truck,unknown,NO
12:35:46,508,car,unknown,NO
12:35:46,509,car,unknown,NO
12:35:46,510,car,unknown,NO
12:35:47,511,car,unknown,NO
12:35:47,512,truck,unknown,NO
12:35:47,513,car,unknown,NO
12:35:47,514,car,unknown,NO
12:35:47,515,car,unknown,NO
12:35:47,516,car,unknown,NO
12:35:48,517,car,unknown,NO
12:35:48,518,car,unknown,NO
12:35:48,519,car,unknown,NO
12:35:48,520,car,unknown,NO
12:35:48,521,car,unknown,NO
12:35:49,522,car,unknown,NO
12:35:49,523,car,unknown,NO
12:35:49,524,car,unknown,NO
12:35:49,525,car,unknown,NO
12:35:49,526,car,unknown,NO
12:35:50,527,car,unknown,NO
12:35:50,528,car,unknown,NO
12:35:50,529,car,unknown,NO
12:35:50,530,car,unknown,NO
12:35:50,531,car,unknown,NO
12:35:50,532,car,unknown,NO
12:35:51,533,car,unknown,NO
12:35:51,534,car,unknown,NO
12:35:51,535,car,unknown,NO
12:35:51,536,car,unknown,NO
12:35:51,537,car,unknown,NO
12:35:51,538,car,unknown,NO
12:35:52,539,car,unknown,NO
12:35:52,540,car,unknown,NO
12:35:52,541,car,unknown,NO
12:35:52,542,car,unknown,NO
12:35:52,543,car,unknown,NO
12:35:52,544,car,unknown,NO
12:35:52,545,car,unknown,NO
12:35:53,546,car,unknown,NO
12:35:53,547,car,unknown,NO
12:35:53,548,car,unknown,NO
12:35:53,549,car,unknown,NO
12:35:53,550,car,unknown,NO
12:35:53,551,car,unknown,NO
12:35:54,552,car,unknown,NO
12:35:54,553,car,unknown,NO
12:35:54,554,car,unknown,NO
12:35:54,555,car,unknown,NO
